player_id,web_name,team,gameweek,opponent,was_home,minutes,goals_scored,assists,clean_sheets,total_points,expected_goals,expected_assists,influence,creativity,threat,value,selected,transfers_in,transfers_out
21,Rice,Arsenal,19,AVL,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,72,3090381,163288,251599
21,Rice,Arsenal,20,BOU,0,90,2,0,0,17,0.53,0.06,81.2,15.9,24.0,71,2545901,28864,662316
21,Rice,Arsenal,21,LIV,1,90,0,0,1,3,0.07,0.15,18.2,28.8,7.0,72,3182200,621377,40467
21,Rice,Arsenal,22,NFO,0,90,0,0,1,3,0.12,0.44,39.0,50.8,21.0,73,3770566,619280,38662
21,Rice,Arsenal,23,MUN,1,90,0,0,0,1,0.11,0.47,18.4,54.5,10.0,74,4000773,292292,56284
21,Rice,Arsenal,24,LEE,0,90,0,0,1,3,0.0,0.4,19.0,44.4,4.0,74,4137784,299564,166435
21,Rice,Arsenal,25,SUN,1,90,0,0,1,5,0.03,0.16,16.4,36.2,3.0,75,4320319,326903,151846
21,Rice,Arsenal,26,WOL,0,90,0,1,0,9,0.03,0.58,33.4,19.8,7.0,75,4655944,426772,125496
21,Rice,Arsenal,27,TOT,0,90,0,0,0,4,0.0,0.04,6.4,7.3,4.0,76,4423920,73449,275640
21,Rice,Arsenal,28,CHE,1,75,0,1,0,5,0.04,0.24,1.8,1.2,0.0,76,4283203,65738,207646
21,Rice,Arsenal,29,BHA,0,90,0,0,1,3,0.0,0.07,25.8,27.0,0.0,75,3914581,51710,407782
21,Rice,Arsenal,30,EVE,1,90,0,0,1,3,0.06,0.14,16.6,43.7,8.0,74,3867946,92249,171725
26,Zubimendi,Arsenal,1,MUN,0,90,0,0,1,5,0.0,0.01,16.0,1.9,2.0,55,201395,0,0
26,Zubimendi,Arsenal,2,LEE,1,90,0,0,1,3,0.02,0.02,6.4,6.9,1.0,55,247409,36357,32926
26,Zubimendi,Arsenal,3,LIV,0,90,0,0,0,1,0.03,0.02,1.4,2.6,5.0,55,219699,15367,49895
26,Zubimendi,Arsenal,4,NFO,1,90,2,0,1,16,0.16,0.03,68.6,14.5,25.0,54,210114,16584,36368
26,Zubimendi,Arsenal,5,MCI,1,90,0,0,0,2,0.05,0.04,8.6,19.0,12.0,54,445650,236749,29506
26,Zubimendi,Arsenal,6,NEW,0,81,0,0,0,2,0.0,0.52,17.8,31.9,0.0,55,509381,117717,56714
26,Zubimendi,Arsenal,7,WHU,1,60,0,0,1,3,0.0,0.16,22.6,18.4,0.0,55,544196,75192,46375
26,Zubimendi,Arsenal,8,FUL,0,90,0,0,1,3,0.0,0.06,11.2,15.6,2.0,55,516539,44961,76425
26,Zubimendi,Arsenal,9,CRY,1,90,0,0,1,5,0.0,0.03,18.2,15.5,0.0,55,485411,22456,55182
26,Zubimendi,Arsenal,10,BUR,0,76,0,0,1,3,0.0,0.02,7.6,14.8,0.0,55,467158,29733,49559
26,Zubimendi,Arsenal,11,SUN,0,90,0,1,0,5,0.28,0.09,36.2,27.8,26.0,54,360865,2505,107754
26,Zubimendi,Arsenal,12,TOT,1,90,0,0,0,2,0.05,0.01,8.8,16.7,2.0,54,358171,16571,25349
26,Zubimendi,Arsenal,13,CHE,0,56,0,0,0,0,0.0,0.01,2.2,11.4,0.0,54,332164,6998,30997
26,Zubimendi,Arsenal,14,BRE,1,90,0,0,1,3,0.0,0.02,8.6,4.1,0.0,53,323942,7874,19600
26,Zubimendi,Arsenal,15,AVL,0,90,0,0,0,2,0.0,0.02,13.2,2.8,0.0,53,312202,8911,21583
26,Zubimendi,Arsenal,16,WOL,1,57,0,0,0,1,0.0,0.03,5.4,16.9,0.0,53,294550,21502,40459
26,Zubimendi,Arsenal,17,EVE,0,90,0,0,1,3,0.14,0.03,8.8,7.4,10.0,52,282360,11647,24453
26,Zubimendi,Arsenal,18,BHA,1,90,0,0,0,2,0.42,0.06,28.8,16.9,23.0,52,279378,11052,14702
26,Zubimendi,Arsenal,19,AVL,1,90,1,0,0,8,0.72,0.08,45.2,24.9,34.0,52,270136,4716,13614
